Question,Correct answer,,Chat GPT 4o,Chat GPT 4,Gemini Advance,,Exam set and course,Table,Figur,,General promt
1,A,,A,A,C,,Spring 2023 ML,1,1,,"Answer the attached exam question for a machine learning and data mining course. The question contains all relevant information. Answer the question using your knowledge. Explain your reasoning for the correct answer and after it is important to give the correct answer as A, B, C or D."
2,A,,A,A,A,,Spring 2023 ML,0,0,,
3,B,,B,C,D,,Spring 2023 ML,1,0,,
4,D,,B,C,D,,Spring 2023 ML,0,0,,Statistic prompt
5,C,,C,D,A,,Spring 2023 ML,1,0,,"Answer the attached exam question for a machine learning and data mining course. The question contains all relevant information. Answer the question using your knowledge. Explain your reasoning for the correct answer and after it is important to give the correct answer as 1, 2, 3, 4 or 5."
6,D,,B,B,C,,Spring 2023 ML,1,0,,
7,B,,B,D,B,,Spring 2023 ML,1,1,,
8,B,,A,B,A,,Spring 2023 ML,1,0,,
9,A,,A,E,E,,Spring 2023 ML,0,0,,
10,C,,C,C,A,,Spring 2023 ML,1,0,,
11,C,,C,C,C,,Spring 2023 ML,1,0,,
12,A,,A,D,D,,Spring 2023 ML,1,0,,
13,A,,A,D,C,,Spring 2023 ML,1,1,,
14,B,,D,B,B,,Spring 2023 ML,0,0,,
15,B,,C,A,C,,Spring 2023 ML,0,1,,
16,C,,C,C,A,,Spring 2023 ML,0,0,,
17,B,,D,D,D,,Spring 2023 ML,0,0,,
18,C,,A,C,A,,Spring 2023 ML,0,0,,
19,D,,D,D,A,,Spring 2023 ML,1,0,,
20,C,,C,C,C,,Spring 2023 ML,0,1,,
21,D,,A,A,B,,Spring 2023 ML,1,1,,
22,D,,D,D,D,,Spring 2023 ML,0,0,,
23,A,,A,A,A,,Spring 2023 ML,0,1,,
24,B,,B,D,C,,Spring 2023 ML,1,0,,
25,C,,D,B,A,,Spring 2023 ML,0,1,,
26,C,,D,C,C,,Spring 2023 ML,1,0,,
27,D,,D,D,B,,Spring 2023 ML,0,1,,
1,B,,A,D,B,,Spring 2024 ML,1,1,,
2,A,,A,A,A,,Spring 2024 ML,,,,
3,B,,A,E,D,,Spring 2024 ML,,,,
4,D,,D,D,A,,Spring 2024 ML,,,,
5,A,,C,A,A,,Spring 2024 ML,,,,
6,D,,D,D,D,,Spring 2024 ML,,,,
7,B,,C,A,A,,Spring 2024 ML,,,,
8,D,,A,A,B,,Spring 2024 ML,,,,
9,D,,B,C,B,,Spring 2024 ML,,,,
10,C,,C,A,D,,Spring 2024 ML,,,,
11,C,,C,C,A,,Spring 2024 ML,,,,
12,B,,C,C,B,,Spring 2024 ML,,,,
13,A,,A,A,A,,Spring 2024 ML,,,,
14,C,,B,E,C,,Spring 2024 ML,,,,
15,C,,C,C,C,,Spring 2024 ML,,,,
16,A,,A,B,A,,Spring 2024 ML,,,,
17,B,,C,B,C,,Spring 2024 ML,,,,
18,C,,D,C,D,,Spring 2024 ML,,,,
19,D,,C,D,C,,Spring 2024 ML,,,,
20,C,,D,C,B,,Spring 2024 ML,,,,
